name,id,album,artists,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genres,cluster_label
Northern Attitude (with Hozier),4oEf84vBYVftf6KmZexhVo,Northern Attitude (with Hozier),"['Noah Kahan', 'Hozier']",0.132,0.488,0.644,4.01e-05,0.105,-8.127,0.051,121.861,0.33,"['modern rock', 'irish singer-songwriter', 'pop', 'singer-songwriter pop', 'pov: indie']",0
Daylight - Slowed + Reverb,0hy0avC3ZHXuSmob8ymMXD,Daylight (Reimagined),['David Kushner'],0.825,0.418,0.514,0.122,0.103,-9.904,0.0452,115.771,0.216,"['singer-songwriter pop', 'gen z singer-songwriter']",0
Call Your Mom (with Lizzy McAlpine),3fKpSA5w8iqLe9sNdIDESW,Call Your Mom (with Lizzy McAlpine),"['Noah Kahan', 'Lizzy McAlpine']",0.726,0.414,0.233,4.82e-05,0.114,-11.606,0.0345,172.752,0.165,"['indie pop', 'alt z', 'singer-songwriter pop', 'boston folk', 'pov: indie']",0
Teenage Dream,3GWaFFi6TlPcZLYmCCHZ9O,Teenage Dream,['Stephen Dawes'],0.411,0.622,0.375,0.0,0.0812,-9.069,0.0279,111.968,0.221,['singer-songwriter pop'],0
Babydoll,7yNf9YjeO5JXUE3JEBgnYc,"Don't Forget About Me, Demos",['Dominic Fike'],0.114,0.762,0.604,0.0,0.0271,-5.296,0.11,168.007,0.847,"['alternative pop rock', 'pov: indie']",0
All My Love,11F1Tpe5da6M6vKLbUjauU,Stick Season (We'll All Be Here Forever),['Noah Kahan'],0.309,0.666,0.665,0.0,0.0961,-7.181,0.0534,116.002,0.474,"['pov: indie', 'singer-songwriter pop']",0
Growing Sideways,2dvEJon5AhhjLs6j8w91Hn,Stick Season (We'll All Be Here Forever),['Noah Kahan'],0.737,0.516,0.289,0.0,0.0952,-8.679,0.0311,178.148,0.563,"['pov: indie', 'singer-songwriter pop']",0
Brooklyn Baby - Spotify Singles,7oPy7n1yowiREvMyypIBEC,Brooklyn Baby - Spotify Singles,['Clairo'],0.628,0.533,0.548,1.61e-05,0.121,-8.52,0.0454,107.927,0.0739,"['indie pop', 'bedroom pop', 'pov: indie']",0
Part of Me,1o5WgxPWvoVgo20DQItKOE,I Was / I Am,['Noah Kahan'],0.0677,0.689,0.687,0.0,0.0805,-7.832,0.0376,109.986,0.248,"['pov: indie', 'singer-songwriter pop']",0
Orange Juice,4KwhK2ileXV2wSfp78pqOx,Stick Season (We'll All Be Here Forever),['Noah Kahan'],0.475,0.662,0.378,6.84e-06,0.121,-10.908,0.0361,120.133,0.207,"['pov: indie', 'singer-songwriter pop']",0
"Everywhere, Everything",7rn89zBlXChGFTNHFZA8un,Stick Season (We'll All Be Here Forever),['Noah Kahan'],0.356,0.462,0.391,0.0,0.134,-9.164,0.0331,179.731,0.287,"['pov: indie', 'singer-songwriter pop']",0
She Calls Me Back,1KUINfIgNjnttphTi4imgI,Stick Season (We'll All Be Here Forever),['Noah Kahan'],0.0786,0.749,0.687,0.0,0.28,-6.497,0.0364,127.905,0.723,"['pov: indie', 'singer-songwriter pop']",0
Stick Season,0mflMxspEfB0VbI1kyLiAv,Stick Season,['Noah Kahan'],0.799,0.664,0.5,0.0,0.0966,-6.935,0.0651,117.896,0.801,"['pov: indie', 'singer-songwriter pop']",0
Paul Revere (with Gregory Alan Isakov),1i9ctdSzErTZNk2IwbnhUt,Paul Revere (with Gregory Alan Isakov),"['Noah Kahan', 'Gregory Alan Isakov']",0.617,0.672,0.363,5.14e-06,0.113,-10.368,0.033,107.953,0.385,"['pop folk', 'stomp and flutter', 'indie folk', 'singer-songwriter pop', 'stomp and holler', 'pov: indie']",0
Forever,0FlwhvrncUKrEAhzunmCKm,Stick Season (Forever),['Noah Kahan'],0.765,0.394,0.256,0.0,0.116,-10.944,0.036,94.367,0.215,"['pov: indie', 'singer-songwriter pop']",0
Different,0vJBL4Dx9aVFsHSqdApU3H,Different,['Joshua Bassett'],0.84,0.392,0.274,0.0,0.182,-10.391,0.043,59.019,0.246,['singer-songwriter pop'],0
Homesick,0jkzxxDG8z3Y5OmfNl1VM0,Stick Season,['Noah Kahan'],0.0253,0.505,0.624,1.06e-05,0.314,-6.526,0.0373,170.076,0.413,"['pov: indie', 'singer-songwriter pop']",0
Daylight,1odExI7RdWc4BT515LTAwj,Daylight,['David Kushner'],0.83,0.508,0.43,0.000441,0.093,-9.475,0.0335,130.09,0.324,"['singer-songwriter pop', 'gen z singer-songwriter']",0
3 Nights,0uI7yAKUf52Cn7y3sYyjiX,"Don't Forget About Me, Demos",['Dominic Fike'],0.223,0.815,0.518,0.0,0.104,-6.594,0.0897,151.891,0.877,"['alternative pop rock', 'pov: indie']",0
Mona Lisa,777zwt161Kap28CJCyqJpk,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE / DELUXE EDITION),['Dominic Fike'],0.149,0.763,0.633,0.0,0.172,-8.083,0.13,111.049,0.414,"['alternative pop rock', 'pov: indie']",0
The View Between Villages - Extended,5ihBtaVVMqO5VqJA5wnmfy,Stick Season (We'll All Be Here Forever),['Noah Kahan'],0.684,0.359,0.37,0.00283,0.0836,-10.076,0.0518,152.827,0.104,"['pov: indie', 'singer-songwriter pop']",0
No Complaints,52DudaVZObvmBgEX6IObHX,Stick Season (We'll All Be Here Forever),['Noah Kahan'],0.574,0.685,0.212,0.000566,0.0826,-11.024,0.0406,119.938,0.323,"['pov: indie', 'singer-songwriter pop']",0
London,38o5lj4mbLK34vQkJUlMrg,London,['Mokita'],0.544,0.684,0.512,0.0,0.097,-8.715,0.0525,119.901,0.466,"['chill pop', 'singer-songwriter pop']",0
Come Over,4qiCVxm7PLSS9dypeYHiMk,Stick Season (Forever),['Noah Kahan'],0.54,0.643,0.236,0.0,0.157,-10.982,0.042,149.815,0.45,"['pov: indie', 'singer-songwriter pop']",0
New Perspective,5IHq3x0UsDi7nHc3heKmix,Stick Season (Forever),['Noah Kahan'],0.267,0.693,0.524,1.83e-06,0.0839,-9.696,0.0407,156.529,0.453,"['pov: indie', 'singer-songwriter pop']",0
